documento,topico,modelo,prompt,dataset_legivel,dataset_raw,resposta,silver_label,silver_is_not_found,resposta_is_not_found,detection_true,detection_pred,quality_applicable,quality_true,quality_pred,similarity,y_pred
AALM_1_Escritura-Escritura_20210715_000.pdf,CNPJ_DO_EMISSOR,Claude Sonnet 4.5 Com raciocínio,basic,zeroshoot,prompt_geral_0_shoot,08.213.823/0001-07,08.213.823/0001-07,False,False,1,1,True,1,1,0.9999998807907104,
AALM_1_Escritura-Escritura_20210715_000.pdf,CNPJ_DO_EMISSOR,Grok 4.1 Com raciocínio,basic,zeroshoot,prompt_geral_0_shoot,08213823000107,08.213.823/0001-07,False,False,1,1,True,1,0,0.8045042753219604,
AALM_1_Escritura-Escritura_20210715_000.pdf,CNPJ_DO_EMISSOR,Grok 4.1 Com raciocínio,pro_geral,conhecimento_12,prompt_geral_conhecimento,08213823000107,08.213.823/0001-07,False,False,1,1,True,1,0,0.8045042753219604,
AALM_1_Escritura-Escritura_20210715_000.pdf,CNPJ_DO_EMISSOR,Sonar,pro_geral,conhecimento_12,prompt_geral_conhecimento,08213823000107,08.213.823/0001-07,False,False,1,1,True,1,0,0.8045042753219604,
AALM_1_Escritura-Escritura_20210715_000.pdf,CNPJ_DO_EMISSOR,GPT-5.1 Com raciocínio,pro_geral,conhecimento_12,prompt_geral_conhecimento,08213823000107,08.213.823/0001-07,False,False,1,1,True,1,0,0.8045042753219604,
AALM_1_Escritura-Escritura_20210715_000.pdf,CNPJ_DO_EMISSOR,Claude Sonnet 4.5 Com raciocínio,pro_geral,conhecimento_12,prompt_geral_conhecimento,08.213.823/0001-07,08.213.823/0001-07,False,False,1,1,True,1,1,0.9999998807907104,
AALM_1_Escritura-Escritura_20210715_000.pdf,CNPJ_DO_EMISSOR,GPT-5.1 Com raciocínio,pro_cnpj_emissor,topics,prompt_geral_conhecimento_por_topic,08213823000107,08.213.823/0001-07,False,False,1,1,True,1,0,0.8045042753219604,
AALM_1_Escritura-Escritura_20210715_000.pdf,CNPJ_DO_EMISSOR,Claude Sonnet 4.5 Com raciocínio,pro_cnpj_emissor,topics,prompt_geral_conhecimento_por_topic,08.213.823/0001-07,08.213.823/0001-07,False,False,1,1,True,1,1,0.9999998807907104,
AALM_1_Escritura-Escritura_20210715_000.pdf,CNPJ_DO_EMISSOR,Grok 4.1 Com raciocínio,pro_cnpj_emissor,topics,prompt_geral_conhecimento_por_topic,08213823000107,08.213.823/0001-07,False,False,1,1,True,1,0,0.8045042753219604,
AALM_1_Escritura-Escritura_20210715_000.pdf,CNPJ_DO_EMISSOR,Sonar,pro_cnpj_emissor,topics,prompt_geral_conhecimento_por_topic,08.213.823/0001-07,08.213.823/0001-07,False,False,1,1,True,1,1,0.9999998807907104,
AALM_1_Escritura-Escritura_20210715_000.pdf,COVENANTS_FINANCEIROS,Sonar,basic,zeroshoot,prompt_geral_0_shoot,Não encontrado,Não encontrado,True,True,0,0,False,-1,0,1.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,COVENANTS_FINANCEIROS,GPT-5.1 Com raciocínio,basic,zeroshoot,prompt_geral_0_shoot,Não encontrado,Não encontrado,True,True,0,0,False,-1,0,1.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,COVENANTS_FINANCEIROS,Claude Sonnet 4.5 Com raciocínio,basic,zeroshoot,prompt_geral_0_shoot,"Índice de Endividamento, Índice de Liquidez, Garantia Aura Minerais, obrigações de não fazer e restrições quanto a operações específicas conforme Cláusulas da Escritura",Não encontrado,True,False,0,1,False,-1,0,0.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,COVENANTS_FINANCEIROS,Grok 4.1 Com raciocínio,basic,zeroshoot,prompt_geral_0_shoot,Não encontrado,Não encontrado,True,True,0,0,False,-1,0,1.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,COVENANTS_FINANCEIROS,Grok 4.1 Com raciocínio,pro_geral,conhecimento_12,prompt_geral_conhecimento,Não encontrado,Não encontrado,True,True,0,0,False,-1,0,1.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,COVENANTS_FINANCEIROS,Sonar,pro_geral,conhecimento_12,prompt_geral_conhecimento,Não encontrado,Não encontrado,True,True,0,0,False,-1,0,1.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,COVENANTS_FINANCEIROS,GPT-5.1 Com raciocínio,pro_geral,conhecimento_12,prompt_geral_conhecimento,Não encontrado,Não encontrado,True,True,0,0,False,-1,0,1.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,COVENANTS_FINANCEIROS,Claude Sonnet 4.5 Com raciocínio,pro_geral,conhecimento_12,prompt_geral_conhecimento,Não encontrado,Não encontrado,True,True,0,0,False,-1,0,1.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,COVENANTS_FINANCEIROS,Sonar,pro_covenants_financeiros,topics,prompt_geral_conhecimento_por_topic,Não encontrado,Não encontrado,True,True,0,0,False,-1,0,1.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,COVENANTS_FINANCEIROS,GPT-5.1 Com raciocínio,pro_covenants_financeiros,topics,prompt_geral_conhecimento_por_topic,Não encontrado,Não encontrado,True,True,0,0,False,-1,0,1.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,COVENANTS_FINANCEIROS,Claude Sonnet 4.5 Com raciocínio,pro_covenants_financeiros,topics,prompt_geral_conhecimento_por_topic,Não encontrado,Não encontrado,True,True,0,0,False,-1,0,1.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,COVENANTS_FINANCEIROS,Grok 4.1 Com raciocínio,pro_covenants_financeiros,topics,prompt_geral_conhecimento_por_topic,Não encontrado,Não encontrado,True,True,0,0,False,-1,0,1.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,DATA_DE_EMISSAO,Sonar,basic,zeroshoot,prompt_geral_0_shoot,Não encontrado,Não encontrado,True,True,0,0,False,-1,0,1.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,DATA_DE_EMISSAO,GPT-5.1 Com raciocínio,basic,zeroshoot,prompt_geral_0_shoot,Não encontrado,Não encontrado,True,True,0,0,False,-1,0,1.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,DATA_DE_EMISSAO,Claude Sonnet 4.5 Com raciocínio,basic,zeroshoot,prompt_geral_0_shoot,15 de julho de 2021,Não encontrado,True,False,0,1,False,-1,0,0.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,DATA_DE_EMISSAO,Grok 4.1 Com raciocínio,basic,zeroshoot,prompt_geral_0_shoot,Não encontrado,Não encontrado,True,True,0,0,False,-1,0,1.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,DATA_DE_EMISSAO,Grok 4.1 Com raciocínio,pro_geral,conhecimento_12,prompt_geral_conhecimento,Não encontrado,Não encontrado,True,True,0,0,False,-1,0,1.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,DATA_DE_EMISSAO,Sonar,pro_geral,conhecimento_12,prompt_geral_conhecimento,Não encontrado,Não encontrado,True,True,0,0,False,-1,0,1.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,DATA_DE_EMISSAO,GPT-5.1 Com raciocínio,pro_geral,conhecimento_12,prompt_geral_conhecimento,Não encontrado,Não encontrado,True,True,0,0,False,-1,0,1.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,DATA_DE_EMISSAO,Claude Sonnet 4.5 Com raciocínio,pro_geral,conhecimento_12,prompt_geral_conhecimento,15 de julho de 2021,Não encontrado,True,False,0,1,False,-1,0,0.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,DATA_DE_EMISSAO,Grok 4.1 Com raciocínio,pro_data_emissao,topics,prompt_geral_conhecimento_por_topic,Não encontrado,Não encontrado,True,True,0,0,False,-1,0,1.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,DATA_DE_EMISSAO,Sonar,pro_data_emissao,topics,prompt_geral_conhecimento_por_topic,Não encontrado,Não encontrado,True,True,0,0,False,-1,0,1.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,DATA_DE_EMISSAO,GPT-5.1 Com raciocínio,pro_data_emissao,topics,prompt_geral_conhecimento_por_topic,Não encontrado,Não encontrado,True,True,0,0,False,-1,0,1.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,DATA_DE_EMISSAO,Claude Sonnet 4.5 Com raciocínio,pro_data_emissao,topics,prompt_geral_conhecimento_por_topic,15 de julho de 2021,Não encontrado,True,False,0,1,False,-1,0,0.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,DESTINACAO_DOS_RECURSOS,Sonar,basic,zeroshoot,prompt_geral_0_shoot,Não encontrado,Não encontrado,True,True,0,0,False,-1,0,1.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,DESTINACAO_DOS_RECURSOS,GPT-5.1 Com raciocínio,basic,zeroshoot,prompt_geral_0_shoot,Não encontrado,Não encontrado,True,True,0,0,False,-1,0,1.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,DESTINACAO_DOS_RECURSOS,Claude Sonnet 4.5 Com raciocínio,basic,zeroshoot,prompt_geral_0_shoot,"Capital de giro, investimentos, aquisição de bens, despesas operacionais e administrativas, incluindo, mas não limitado a, pagamento de fornecedores e obrigações",Não encontrado,True,False,0,1,False,-1,0,0.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,DESTINACAO_DOS_RECURSOS,Grok 4.1 Com raciocínio,basic,zeroshoot,prompt_geral_0_shoot,Não encontrado,Não encontrado,True,True,0,0,False,-1,0,1.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,DESTINACAO_DOS_RECURSOS,Grok 4.1 Com raciocínio,pro_geral,conhecimento_12,prompt_geral_conhecimento,Não encontrado,Não encontrado,True,True,0,0,False,-1,0,1.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,DESTINACAO_DOS_RECURSOS,Sonar,pro_geral,conhecimento_12,prompt_geral_conhecimento,Não encontrado,Não encontrado,True,True,0,0,False,-1,0,1.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,DESTINACAO_DOS_RECURSOS,GPT-5.1 Com raciocínio,pro_geral,conhecimento_12,prompt_geral_conhecimento,Não encontrado,Não encontrado,True,True,0,0,False,-1,0,1.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,DESTINACAO_DOS_RECURSOS,Claude Sonnet 4.5 Com raciocínio,pro_geral,conhecimento_12,prompt_geral_conhecimento,Não encontrado,Não encontrado,True,True,0,0,False,-1,0,1.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,DESTINACAO_DOS_RECURSOS,Claude Sonnet 4.5 Com raciocínio,pro_destinacao_recursos,topics,prompt_geral_conhecimento_por_topic,"a totalidade dos Recursos Líquidos captados pela Emissora por meio da Emissão serão alocados no pagamento futuro ou reembolso, conforme aplicável, de gastos, despesas ou dívidas relacionados ao Projeto",Não encontrado,True,False,0,1,False,-1,0,0.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,DESTINACAO_DOS_RECURSOS,Grok 4.1 Com raciocínio,pro_destinacao_recursos,topics,prompt_geral_conhecimento_por_topic,Não encontrado,Não encontrado,True,True,0,0,False,-1,0,1.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,DESTINACAO_DOS_RECURSOS,Sonar,pro_destinacao_recursos,topics,prompt_geral_conhecimento_por_topic,Não encontrado,Não encontrado,True,True,0,0,False,-1,0,1.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,DESTINACAO_DOS_RECURSOS,GPT-5.1 Com raciocínio,pro_destinacao_recursos,topics,prompt_geral_conhecimento_por_topic,Não encontrado,Não encontrado,True,True,0,0,False,-1,0,1.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,EMISSOR,Sonar,basic,zeroshoot,prompt_geral_0_shoot,AURA ALMAS MINERAO S.A.,AURA ALMAS MINERAO S.A.,False,False,1,1,True,1,1,1.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,EMISSOR,GPT-5.1 Com raciocínio,basic,zeroshoot,prompt_geral_0_shoot,AURA ALMAS MINERAÇÃO S.A.,AURA ALMAS MINERAO S.A.,False,False,1,1,True,1,1,0.9466652274131776,
AALM_1_Escritura-Escritura_20210715_000.pdf,EMISSOR,Claude Sonnet 4.5 Com raciocínio,basic,zeroshoot,prompt_geral_0_shoot,AURA ALMAS MINERAÇÃO S.A.,AURA ALMAS MINERAO S.A.,False,False,1,1,True,1,1,0.9466652274131776,
AALM_1_Escritura-Escritura_20210715_000.pdf,EMISSOR,Grok 4.1 Com raciocínio,basic,zeroshoot,prompt_geral_0_shoot,AURA ALMAS MINERAO S.A.,AURA ALMAS MINERAO S.A.,False,False,1,1,True,1,1,1.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,EMISSOR,Grok 4.1 Com raciocínio,pro_geral,conhecimento_12,prompt_geral_conhecimento,AURA ALMAS MINERAO S.A.,AURA ALMAS MINERAO S.A.,False,False,1,1,True,1,1,1.0000001192092896,
AALM_1_Escritura-Escritura_20210715_000.pdf,EMISSOR,Sonar,pro_geral,conhecimento_12,prompt_geral_conhecimento,AURA ALMAS MINERAO S.A.,AURA ALMAS MINERAO S.A.,False,False,1,1,True,1,1,1.0000001192092896,
AALM_1_Escritura-Escritura_20210715_000.pdf,EMISSOR,GPT-5.1 Com raciocínio,pro_geral,conhecimento_12,prompt_geral_conhecimento,AURA ALMAS MINERAO S.A.,AURA ALMAS MINERAO S.A.,False,False,1,1,True,1,1,1.0000001192092896,
AALM_1_Escritura-Escritura_20210715_000.pdf,EMISSOR,Claude Sonnet 4.5 Com raciocínio,pro_geral,conhecimento_12,prompt_geral_conhecimento,AURA ALMAS MINERAÇÃO S.A.,AURA ALMAS MINERAO S.A.,False,False,1,1,True,1,1,0.9466651678085328,
AALM_1_Escritura-Escritura_20210715_000.pdf,EMISSOR,GPT-5.1 Com raciocínio,pro_emissor,topics,prompt_geral_conhecimento_por_topic,AURA ALMAS MINERAO S.A.,AURA ALMAS MINERAO S.A.,False,False,1,1,True,1,1,0.9999999403953552,
AALM_1_Escritura-Escritura_20210715_000.pdf,EMISSOR,Claude Sonnet 4.5 Com raciocínio,pro_emissor,topics,prompt_geral_conhecimento_por_topic,AURA ALMAS MINERAÇÃO S.A.,AURA ALMAS MINERAO S.A.,False,False,1,1,True,1,1,0.9466652274131776,
AALM_1_Escritura-Escritura_20210715_000.pdf,EMISSOR,Grok 4.1 Com raciocínio,pro_emissor,topics,prompt_geral_conhecimento_por_topic,AURA ALMAS MINERAO S.A.,AURA ALMAS MINERAO S.A.,False,False,1,1,True,1,1,1.0000001192092896,
AALM_1_Escritura-Escritura_20210715_000.pdf,EMISSOR,Sonar,pro_emissor,topics,prompt_geral_conhecimento_por_topic,AURA ALMAS MINERAO S.A.,AURA ALMAS MINERAO S.A.,False,False,1,1,True,1,1,1.0000001192092896,
AALM_1_Escritura-Escritura_20210715_000.pdf,NUMERO_DA_EMISSAO,Sonar,basic,zeroshoot,prompt_geral_0_shoot,Não encontrado,1ª (Primeira) Emissão,False,True,0,0,False,-1,0,0.23128916323184967,0.0
AALM_1_Escritura-Escritura_20210715_000.pdf,NUMERO_DA_EMISSAO,GPT-5.1 Com raciocínio,basic,zeroshoot,prompt_geral_0_shoot,Não encontrado,1ª (Primeira) Emissão,False,True,0,0,False,-1,0,0.23128916323184967,0.0
AALM_1_Escritura-Escritura_20210715_000.pdf,NUMERO_DA_EMISSAO,Claude Sonnet 4.5 Com raciocínio,basic,zeroshoot,prompt_geral_0_shoot,1ª (Primeira) Emissão,1ª (Primeira) Emissão,False,False,0,1,True,-1,0,0.9999998807907104,1.0
AALM_1_Escritura-Escritura_20210715_000.pdf,NUMERO_DA_EMISSAO,Grok 4.1 Com raciocínio,basic,zeroshoot,prompt_geral_0_shoot,Não encontrado,1ª (Primeira) Emissão,False,True,0,0,False,-1,0,0.23128916323184967,0.0
AALM_1_Escritura-Escritura_20210715_000.pdf,NUMERO_DA_EMISSAO,Grok 4.1 Com raciocínio,pro_geral,conhecimento_12,prompt_geral_conhecimento,Não encontrado,1ª emissão,False,True,0,0,False,-1,0,0.3706928491592407,0.0
AALM_1_Escritura-Escritura_20210715_000.pdf,NUMERO_DA_EMISSAO,Sonar,pro_geral,conhecimento_12,prompt_geral_conhecimento,Não encontrado,1ª emissão,False,True,0,0,False,-1,0,0.3706928491592407,0.0
AALM_1_Escritura-Escritura_20210715_000.pdf,NUMERO_DA_EMISSAO,GPT-5.1 Com raciocínio,pro_geral,conhecimento_12,prompt_geral_conhecimento,Não encontrado,1ª emissão,False,True,0,0,False,-1,0,0.3706928491592407,0.0
AALM_1_Escritura-Escritura_20210715_000.pdf,NUMERO_DA_EMISSAO,Claude Sonnet 4.5 Com raciocínio,pro_geral,conhecimento_12,prompt_geral_conhecimento,1ª emissão,1ª emissão,False,False,0,1,True,-1,0,1.0000001192092896,1.0
AALM_1_Escritura-Escritura_20210715_000.pdf,NUMERO_DA_EMISSAO,Sonar,pro_numero_emissao,topics,prompt_geral_conhecimento_por_topic,Não encontrado,1ª emissão,False,True,0,0,False,-1,0,0.3706928491592407,0.0
AALM_1_Escritura-Escritura_20210715_000.pdf,NUMERO_DA_EMISSAO,GPT-5.1 Com raciocínio,pro_numero_emissao,topics,prompt_geral_conhecimento_por_topic,Não encontrado,1ª emissão,False,True,0,0,False,-1,0,0.3706928491592407,0.0
AALM_1_Escritura-Escritura_20210715_000.pdf,NUMERO_DA_EMISSAO,Claude Sonnet 4.5 Com raciocínio,pro_numero_emissao,topics,prompt_geral_conhecimento_por_topic,1ª emissão,1ª emissão,False,False,0,1,True,-1,0,1.0000001192092896,1.0
AALM_1_Escritura-Escritura_20210715_000.pdf,NUMERO_DA_EMISSAO,Grok 4.1 Com raciocínio,pro_numero_emissao,topics,prompt_geral_conhecimento_por_topic,Não encontrado,1ª emissão,False,True,0,0,False,-1,0,0.3706928491592407,0.0
AALM_1_Escritura-Escritura_20210715_000.pdf,PRAZO_DE_VENCIMENTO,Sonar,basic,zeroshoot,prompt_geral_0_shoot,Não encontrado,Não encontrado,True,True,0,0,False,-1,0,1.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,PRAZO_DE_VENCIMENTO,GPT-5.1 Com raciocínio,basic,zeroshoot,prompt_geral_0_shoot,Não encontrado,Não encontrado,True,True,0,0,False,-1,0,1.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,PRAZO_DE_VENCIMENTO,Claude Sonnet 4.5 Com raciocínio,basic,zeroshoot,prompt_geral_0_shoot,24 (vinte e quatro) meses contados da Data de Emissão,Não encontrado,True,False,0,1,False,-1,0,0.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,PRAZO_DE_VENCIMENTO,Grok 4.1 Com raciocínio,basic,zeroshoot,prompt_geral_0_shoot,Não encontrado,Não encontrado,True,True,0,0,False,-1,0,1.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,PRAZO_DE_VENCIMENTO,Grok 4.1 Com raciocínio,pro_geral,conhecimento_12,prompt_geral_conhecimento,Não encontrado,Não encontrado,True,True,0,0,False,-1,0,1.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,PRAZO_DE_VENCIMENTO,Sonar,pro_geral,conhecimento_12,prompt_geral_conhecimento,Não encontrado,Não encontrado,True,True,0,0,False,-1,0,1.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,PRAZO_DE_VENCIMENTO,GPT-5.1 Com raciocínio,pro_geral,conhecimento_12,prompt_geral_conhecimento,Não encontrado,Não encontrado,True,True,0,0,False,-1,0,1.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,PRAZO_DE_VENCIMENTO,Claude Sonnet 4.5 Com raciocínio,pro_geral,conhecimento_12,prompt_geral_conhecimento,Não encontrado,Não encontrado,True,True,0,0,False,-1,0,1.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,PRAZO_DE_VENCIMENTO,Grok 4.1 Com raciocínio,pro_prazo_vencimento,topics,prompt_geral_conhecimento_por_topic,Não encontrado,Não encontrado,True,True,0,0,False,-1,0,1.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,PRAZO_DE_VENCIMENTO,Sonar,pro_prazo_vencimento,topics,prompt_geral_conhecimento_por_topic,Não encontrado,Não encontrado,True,True,0,0,False,-1,0,1.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,PRAZO_DE_VENCIMENTO,GPT-5.1 Com raciocínio,pro_prazo_vencimento,topics,prompt_geral_conhecimento_por_topic,Não encontrado,Não encontrado,True,True,0,0,False,-1,0,1.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,PRAZO_DE_VENCIMENTO,Claude Sonnet 4.5 Com raciocínio,pro_prazo_vencimento,topics,prompt_geral_conhecimento_por_topic,Não encontrado,Não encontrado,True,True,0,0,False,-1,0,1.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,PUBLICO_ALVO,Sonar,basic,zeroshoot,prompt_geral_0_shoot,Não encontrado,Investidores Profissionais,False,True,0,0,False,-1,0,0.12036480009555817,0.0
AALM_1_Escritura-Escritura_20210715_000.pdf,PUBLICO_ALVO,GPT-5.1 Com raciocínio,basic,zeroshoot,prompt_geral_0_shoot,Não encontrado,Investidores Profissionais,False,True,0,0,False,-1,0,0.12036480009555817,0.0
AALM_1_Escritura-Escritura_20210715_000.pdf,PUBLICO_ALVO,Claude Sonnet 4.5 Com raciocínio,basic,zeroshoot,prompt_geral_0_shoot,Investidores Profissionais,Investidores Profissionais,False,False,0,1,True,-1,0,1.0,1.0
AALM_1_Escritura-Escritura_20210715_000.pdf,PUBLICO_ALVO,Grok 4.1 Com raciocínio,basic,zeroshoot,prompt_geral_0_shoot,Não encontrado,Investidores Profissionais,False,True,0,0,False,-1,0,0.12036480009555817,0.0
AALM_1_Escritura-Escritura_20210715_000.pdf,PUBLICO_ALVO,Grok 4.1 Com raciocínio,pro_geral,conhecimento_12,prompt_geral_conhecimento,Não encontrado,Não encontrado,True,True,0,0,False,-1,0,1.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,PUBLICO_ALVO,Sonar,pro_geral,conhecimento_12,prompt_geral_conhecimento,Não encontrado,Não encontrado,True,True,0,0,False,-1,0,1.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,PUBLICO_ALVO,GPT-5.1 Com raciocínio,pro_geral,conhecimento_12,prompt_geral_conhecimento,Não encontrado,Não encontrado,True,True,0,0,False,-1,0,1.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,PUBLICO_ALVO,Claude Sonnet 4.5 Com raciocínio,pro_geral,conhecimento_12,prompt_geral_conhecimento,Não encontrado,Não encontrado,True,True,0,0,False,-1,0,1.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,PUBLICO_ALVO,Claude Sonnet 4.5 Com raciocínio,pro_publico_alvo,topics,prompt_geral_conhecimento_por_topic,Não encontrado,Não encontrado,True,True,0,0,False,-1,0,1.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,PUBLICO_ALVO,Grok 4.1 Com raciocínio,pro_publico_alvo,topics,prompt_geral_conhecimento_por_topic,Não encontrado,Não encontrado,True,True,0,0,False,-1,0,1.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,PUBLICO_ALVO,Sonar,pro_publico_alvo,topics,prompt_geral_conhecimento_por_topic,Não encontrado,Não encontrado,True,True,0,0,False,-1,0,1.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,PUBLICO_ALVO,GPT-5.1 Com raciocínio,pro_publico_alvo,topics,prompt_geral_conhecimento_por_topic,Não encontrado,Não encontrado,True,True,0,0,False,-1,0,1.0,
AALM_1_Escritura-Escritura_20210715_000.pdf,REGIME_DE_COLOCACAO,Sonar,basic,zeroshoot,prompt_geral_0_shoot,Não encontrado,Não encontrado,True,True,0,0,False,-1,0,1.0,
