dataset_legivel,documento,topico,silver_label,resp_Claude_Sonnet_4.5_Com_,resp_GPT-5.1_Com_raciocínio,resp_Grok_4.1_Com_raciocíni,resp_Sonar,revisao_humana,gabarito
topics,AALM_1_Escritura-Escritura_20210715_000.pdf,AMORTIZACAO,Não encontrado,"As Debêntures serão amortizadas em 3 (três) parcelas anuais e sucessivas, sendo a primeira parcela correspondente a 33,33% (trinta e três vírgula trinta e três por cento) do Valor Nominal Unitário, a ser paga na primeira Data de Pagamento da Amortização que ocorrer após 12 (doze) meses contados da Data de Emissão, a segunda parcela correspondente a 33,33% (trinta e três vírgula trinta e três por cento) do Valor Nominal Unitário, a ser paga na segunda Data de Pagamento da Amortização que ocorrer após 24 (vinte e quatro) meses contados da Data de Emissão, e a terceira e última parcela correspondente a 33,34% (trinta e três vírgula trinta e quatro por cento) do Valor Nominal Unitário a ser paga na Data de Vencimento.",Não encontrado,Não encontrado,Não encontrado,TRUE,
topics,AALM_1_Escritura-Escritura_20210715_000.pdf,DATA_DE_EMISSAO,Não encontrado,15 de julho de 2021,Não encontrado,Não encontrado,Não encontrado,TRUE,
topics,AALM_1_Escritura-Escritura_20210715_000.pdf,DESTINACAO_DOS_RECURSOS,Não encontrado,"a totalidade dos Recursos Líquidos captados pela Emissora por meio da Emissão serão alocados no pagamento futuro ou reembolso, conforme aplicável, de gastos, despesas ou dívidas relacionados ao Projeto",Não encontrado,Não encontrado,Não encontrado,TRUE,
topics,AALM_1_Escritura-Escritura_20210715_000.pdf,NUMERO_DA_EMISSAO,Não encontrado,1ª emissão,Não encontrado,Não encontrado,Não encontrado,FALSE,1ª emissão
topics,AALM_1_Escritura-Escritura_20210715_000.pdf,TAXA_DE_JUROS_REMUNERATORIOS,Não encontrado,"100% da Taxa DI acrescida exponencialmente de sobretaxa (spread) de 1,40% ao ano, base 252 Dias Úteis",Não encontrado,Não encontrado,Não encontrado,TRUE,
topics,AALM_2_Escritura-Escritura_20240908_000.pdf,COVENANTS_FINANCEIROS,Não encontrado,"Item xxxv (Índice Financeiro Inicial - Aura Minerals): Até o vencimento das obrigações decorrentes da Primeira Emisão da Emissora e/ou a sua integral quitação, o que ocorrer primeiro, com a consequente verificação da implementação da Condição Resolutiva, não observância, pela Aura Minerals, do índice financeiro abaixo, a ser apurado pela Aura Minerals, trimestralmente, de acordo com os princípios contábeis geralmente aceitos no Brasil e acompanhados pelo Agente Fiduciário no prazo de até 15 (quinze) Dias Úteis contados da data de recebimento, pelo Agente Fiduciário, das informações, tendo por base os Financial Statements da Aura Minerals, reportados trimestralmente, em Dólares dos Estados Unidos da América, a partir, inclusive, das Demonstraes Financeiras Consolidadas da Aura Minerals relativas ao exercício social findo em 31 de setembro de 2024: a) Índice financeiro decorrente do quociente da diviso da Dívida Líquida pelo EBITDA da Aura Minerals, que deverá ser igual ou inferior a 2,75x.  Item xxxvi (Índice Financeiro Posterior - Emissora): Após o vencimento das obrigações decorrentes da Primeira Emisão da Emissora e/ou a sua integral quitação, o que ocorrer primeiro, com a consequente verificação da implementação da Condição Resolutiva, não observância, pela Emissora, do índice financeiro abaixo, a ser apurado pela Emissora, trimestralmente, de acordo com os princípios contábeis geralmente aceitos no Brasil e acompanhados pelo Agente Fiduciário no prazo de até 5 (cinco) Dias Úteis contados da data de recebimento, pelo Agente Fiduciário, das informações, com base nas informações trimestrais e demonstrações financeiras disponíveis da Emissora, considerando o período de 12 (doze) meses anteriores: Encerramento dos Exercícios e Trimestres Sociais (considerando-se sempre o perodo de 12 meses anteriores) | Dívida Líquida/EBITDA - Até 31 de dezembro de 2026: Menor ou igual a 2,00x - A partir de 31 de março de 2027 até a Data de Vencimento de Debêntures: Menor ou igual a 1,50x Definições: EBITDA: corresponde ao somatório acumulado dos últimos doze meses, até a data de encerramento do respectivo período, em base consolidada da Emissora, do lucro líquido do período antes de deduzidos (i) das despesas de imposto sobre a renda corrente e imposto sobre a renda diferido, (ii) das despesas de depreciaço e amortização, (iii) das despesas financeiras deduzidas das receitas financeiras, (iv) de outras receitas/despesas líquidas e do resultado não operacional. Dívida Líquida: conforme definido nas Demonstrações Financeiras.","“xxxvi após o vencimento das obrigações decorrentes da Primeira Emissão da Emissora e/ou a sua integral quitação, o que ocorrer primeiro, com a consequente verificação da implementação da Condição Resolutiva, não observância, pela Emissora, do índice financeiro abaixo, a ser apurado pela Emissora, trimestralmente, de acordo com os princípios contábeis geralmente aceitos no Brasil e acompanhados pelo Agente Fiduciário no prazo de até 5 (cinco) Dias úteis contados da data de recebimento, pelo Agente Fiduciário, das informações a que se refere a Cláusula 7.1.1, i abaixo, com base nas informações trimestrais e demonstrações financeiras disponíveis da Emissora, considerando o período de 12 (doze) meses anteriores Índice Financeiro Posterior e, em conjunto com o Índice Financeiro Inicial, os Índices Financeiros Encerramento dos Exercícios e Trimestres Sociais considerando-se sempre o período de 12 (doze) meses anteriores a tal data Dívida Líquida/EBITDA Até 31 de dezembro de 2026 Menor ou igual a 2,00x A partir de 31 de março de 2027 até a Data de Vencimento de Debêntures Menor ou igual a 1,50x Para fins da presente Escritura de Emissão, Dívida Líquida e EBITDA terão os seguintes significados EBITDA corresponde ao somatório acumulado dos últimos doze meses, até a data de encerramento do respectivo período, em base consolidada da Emissora, do lucro líquido do período antes de deduzidos i das despesas de imposto sobre a renda corrente e imposto sobre a renda diferido, ii das despesas de depreciação e amortização, ii das despesas financeiras deduzidas das receitas financeiras, iv de outras receitas despesas líquidas e do resultado não operacional, aqui computados os efeitos provenientes de alienação ou impairment de ativos não circulantes e instrumentos patrimoniais. Dívida Líquida significa o somatório das dívidas consolidadas de empréstimos e financiamentos, reduzido pelo montante de caixa e equivalentes. Passivos referentes a arrendamentos operacionais não deverão ser considerados para fins de cálculo.” “6.10. ... desde que, após a realização de qualquer Redução de Capital Previamente Aprovada conforme definida abaixo, i o capital social da Emissora, seja de, no mínimo, R$100.000.000,00 cem milhões de reais e ii no haja descumprimento do Índice Financeiro Posterior, ...”",Não encontrado,Não encontrado,FALSE,"Dívida Líquida/EBITDA ≤ 2,00x até 31/12/2026 e ≤ 1,50x a partir de 31/03/2027"
topics,ADPA_1_Escritura-Escritura_20250613_000.pdf,COVENANTS_FINANCEIROS,Não encontrado,Não encontrado,índices financeiros gerais,Não encontrado,índices financeiros gerais,TRUE,
topics,ADPD_1_Escritura-Escritura_20250613_000.pdf,COVENANTS_FINANCEIROS,Não encontrado,"Índice Financeiro aplicável à AEGEA (Fiadora): Dívida Financeira Líquida / EBITDA menor ou igual a 4,00x (quatro inteiros), auferido semestralmente com base nos últimos 12 meses, a partir das demonstrações financeiras consolidadas da AEGEA. Primeira verificação: 31/12/2025. DEFINIÇÕES: (i) Dívida Financeira Líquida = somatória de (a) endividamentos consolidados com empréstimos de instituições financeiras + (b) obrigações consolidadas representadas por debêntures, notas promissórias ou títulos similares + (c) dívidas líquidas de derivativos (excluindo marcação a mercado) MENOS saldo em caixa e aplicações financeiras; (ii) EBITDA = resultado antes do resultado financeiro e tributos, acrescido de depreciação e amortização (incluindo amortização de direito de concessão), calculado com base nos últimos 12 meses nas demonstrações financeiras consolidadas auditadas da AEGEA. OBSERVAÇÃO: Covenant aplicável à AEGEA (Fiadora), não à Emissora diretamente.","viii descumprimento, pela AEGEA, do ndice financeiro indicado abaixo, auferido semestralmente pela AEGEA, e acompanhado pelo Agente Fiducirio, com base nos ltimos 12 doze meses, a partir das demonstraes financeiras eou informaes financeiras semestrais, conforme o caso, consolidadas da AEGEA, sendo que a primeira verificao dever ocorrer com base nas demonstraes financeiras de 31 de dezembro de 2025 ndice Financeiro a Dvida Financeira Lquida EBITDA menor ou igual a 4,00x quatro inteiros. onde Dvida Financeira Lquida significa a somatria de a todos os endividamentos consolidados no que diz respeito a emprstimos de qualquer instituio financeira b todas as obrigaes consolidadas representadas por debntures, notas promissrias ou outros ttulos eou valores mobilirios similares e c dvidas lquidas do saldo a receber e do saldo a pagar decorrentes de derivativos, incluindo contratos de hedge eou quaisquer outros contratos de derivativos, excluindo efeitos temporais de marcao a mercado, menos o saldo em caixa e o saldo de aplicaes financeiras. EBITDA significa, para qualquer perodo, o somatrio do resultado antes do resultado financeiro e dos tributos, acrescido de todos os valores atribuveis a sem duplicidade depreciao e amortizao, incluindo a amortizao do direito de concesso, sendo certo que o EBITDA dever ser calculado com base nos ltimos 12 doze meses baseado nas demonstraes financeiras consolidadas auditadas da AEGEA. Em caso de aquisio de novos ativos que incorporaro o portflio de negcios da AEGEA, ser considerado o EBITDA pro forma 12",Não encontrado,"A razão entre a Dívida Líquida e o EBITDA não poderá ser superior a 2,5x, apurada trimestralmente.",TRUE,
topics,BRKM_17_Escritura-Escritura_20220822_000.pdf,COVENANTS_FINANCEIROS,Não encontrado,Não encontrado,"sendo que os valores depositados na Conta Vinculada deverao ser, no minimo, correspondentes a 120 (cento e vinte) por cento do valor projetado da primeira parcela de Remuneracao das Debentures, calculado conforme previsto no Contrato de Cessao Fiduciaria, o qual permanecera retido ate a Data Limite conforme definido no Contrato de Cessao Fiduciaria.",Não encontrado,Não encontrado,TRUE,
topics,COGN_14_Escritura-Escritura_20241119_000.pdf,CNPJ_DO_EMISSOR,Não encontrado,01.047.166/0001-10,Não encontrado,Não encontrado,Não encontrado,TRUE,02.800.026/0001-40
topics,COGN_14_Escritura-Escritura_20241119_000.pdf,TAXA_DE_JUROS_REMUNERATORIOS,Não encontrado,"100% da Taxa DI acrescida de spread (sobretaxa), base 252 Dias Úteis",Não encontrado,Não encontrado,Não encontrado,TRUE,"100% da variação do DI acrescida de 1,60% sobretaxa (spread)"
topics,TPER_1_Escritura-Escritura_20231221_001.pdf,COVENANTS_FINANCEIROS,Não encontrado,Não encontrado,"Os recursos disponveis no caixa da Emissora em 31 de maro e 30 de setembro de cada ano a partir da Data-Base da Repactuao da Dvida que excederem o montante de 15.000.000,00 quinze milhes de reais, atualizado anualmente pela variao positiva do IPCA Caixa Mnimo, caso aplicvel, devero ser obrigatoriamente destinados pela Emissora amortizao extraordinria obrigatria das Debntures da Parcela A, de maneira pro rata entre as Debntures das Sries 1-A, 2-A, 3-A e 4-A Amortizao Extraordinria Obrigatria Debntures da Parcela A. observado que a repactuao da referida dvida no poder afetar o fluxo de pagamento das Debntures, equivalente a 84,40 oitenta e quatro inteiros e quarenta centsimos por cento do fluxo de caixa trimestral livre disponvel para o pagamento dos credores ou seja, receita menos impostos e desembolsos operacionais da Emissora Termos da Repactuao da CCB Ao Monitria.",Não encontrado,Não encontrado,TRUE,
topics,TPER_1_Escritura-Escritura_20231221_001.pdf,PUBLICO_ALVO,Não encontrado,Não encontrado,Não encontrado,público em geral,Não encontrado,TRUE,
topics,TRPL_15_Escritura-Escritura_20240216_000.pdf,COVENANTS_FINANCEIROS,Não encontrado,Não encontrado,"O rating mínimo da Emissão, a ser observado durante o prazo de vigência das Debêntures, será, no mínimo, Fitch “AAAbra” ou equivalente, e deverá ser atualizado anualmente, a partir da data de emissão do relatório vigente na primeira Data de Integralização, até a Data de Vencimento.",Não encontrado,Não encontrado,TRUE,
topics,TVXV_1_Escritura-Escritura_20210111_000.pdf,COVENANTS_FINANCEIROS,Não encontrado,Não encontrado,"Ser constitudo um Fundo de Reserva no valor de R 50.000,00, sendo este o valor mnimo, para arcar com as despesas da operao, caso necessrio. O Fundo de Reserva ser recomposto de acordo com a Ordem de Alocao dos Recursos.",Não encontrado,Não encontrado,TRUE,
topics,VECS_1_Escritura-Escritura_20220705_000.pdf,COVENANTS_FINANCEIROS,Não encontrado,"A Emissora deverá manter a Razão de Subordinação em patamares mínimos, conforme segue: 1. RAZÃO DE SUBORDINAÇÃO (Cláusula 6.1.vii e 6.2.xvi): Definição: Razão de Subordinação = Patrimônio Líquido / (Quantidade de Debêntures Série Sênior × Valor Nominal Unitário das Debêntures Série Sênior + Remuneração devida) Onde Patrimônio Líquido = soma algébrica de: Valor Presente dos Direitos Creditórios Cedidos + valores depositados na Conta Autorizada + valores na Conta Vinculada + Investimentos Permitidos + Remuneração de Ajuste de Carteira + Remuneração pela Reserva de Disponibilidade de Recursos devidos e não pagos. Limites obrigatórios - Razão de Subordinação não poderá ficar abaixo de 101,52% por 15 dias consecutivos ou 20 dias alternados (Evento de Vencimento Antecipado Automático) - Razão de Subordinação entre 101,52% e 103,09% por 15 dias consecutivos ou 20 dias alternados configura Evento de Vencimento Antecipado Não Automático (sujeito a deliberação) 2. RESERVA DE CAIXA (Cláusula 4.4.2.vi): A Emissora deverá constituir Reserva de Caixa equivalente à projeção estimada de pagamento de Amortização Ordinária e Remuneração das Debêntures. Composição obrigatória até o 2º Dia Útil anterior a cada data de pagamento. 3. RESERVA DE DESPESAS E ENCARGOS (Cláusula 4.4.2.v): Reserva equivalente à soma das Despesas a serem pagas nos 3 meses subsequentes. Recomposição imediata sempre que o saldo for inferior ao valor da reserva exigido. 4. ALOCAÇÃO MÍNIMA (Cláusula 3.7.1): Decorridos 90 dias da Primeira Data de Integralização, no mínimo 50% dos Recursos da Integralização deverão estar alocados em Direitos Creditórios.","vii caso a Razo de Subordinao fique abaixo do percentual de 101,52 cento e um inteiros e cinquenta e dois centsimos por cento por 15 quinze dias consecutivos ou 20 vinte dias alternados Razo Mnima de Subordinao. Para os fins desta Escritura Razo de Subordinao significa o produto resultante da diviso entre o Patrimnio Lquido conforme abaixo definido e a Quantidade de Debntures Srie Snior emitidas multiplicado pelo Valor Nominal Unitrio das Debntures Srie Snior, acrescido pela respectiva Remunerao devida desde a Primeira Data de Integralizao ou Data de Pagamento da Remunerao das Debntures da Srie Snior imediatamente anterior, conforme o caso. Patrimnio Lquido significa a soma algbrica, em determinada data de apurao, do Valor Presente dos Direitos Creditrios Cedidos, dos valores depositados na Conta Autorizada e na Conta Vinculada, Investimentos Permitidos, a Remunerao de Ajuste de Carteira e Remunerao pela Reserva de Disponibilidade de Recursos devidos e no pagos. xvi caso a Razo de Subordinao fique, por 15 quinze dias consecutivos ou 20 vinte dias alternados abaixo do percentual de 103,09 cento e trs inteiros e nove centsimos por cento, porm acima do percentual de 101,52 cento e um inteiros e cinquenta e dois centsimos por cento",Não encontrado,Não encontrado,TRUE,
topics,VSCF_8_Escritura-Escritura_20250117_000.pdf,COVENANTS_FINANCEIROS,Não encontrado,Não encontrado,"4.9.3.2. A Razo de Subordinao considerando pro forma a integralizao a ser realizada em tal data, durante a vigncia deste instrumento, dever ser igual a 20 vinte por cento Razo Mnima de Subordinao. 5.2.1. A Emissora dever, sempre que for apurado em uma Data de Verificao, que a Razo Mnima de Subordinao no foi atendida, ou seja, for menor que 20 vinte por cento e desde que existam recursos disponveis, realizar a amortizao extraordinria das Debntures da Primeira Srie com limite de at 98 noventa e oito por cento do Valor Nominal Unitrio das Debntures da Primeira Srie ou saldo do Valor Nominal Unitrio das Debntures da Primeira Srie, limitadas ao montante suficiente para reestabelecer a Razo Mnima de Subordinao Amortizao Extraordinria Obrigatria das Debntures da Primeira Srie Subordinao. Para fins de clculo, ser utilizado o Saldo Devedor das Debntures com data base na Data de Verificao. 5.2.3. Em cada Data de Verificao em que for apurada que a Razo Mnima de Subordinao no foi atendida, a Emissora dever utilizar os recursos disponveis para a realizao da Amortizao Extraordinria Obrigatria das Debntures da Primeira Srie Subordinao. 5.2.3.1. Caso no existam recursos disponveis suficientes para a realizao da Amortizao Extraordinria Obrigatria das Debntures da Primeira Srie Subordinao, ou ainda, que a Razo Mnima de Subordinao no tenha sido restabelecida, a Emissora dever adotar imediatamente o regime de Amortizao Sequencial em lugar da Amortizao Pro Rata. 5.2.3.2. O regime de Amortizao Sequencial dever vigorar at que seja restabelecida a Razo Mnima de Subordinao, quando a Emissora dever adotar novamente, na prxima Data de Pagamento, o regime de Amortizao Pro Rata. 5.3.1. Observados os termos desta Escritura de Emisso, especialmente quanto Ordem de Alocao de Recursos, sempre que for apurado, em uma Data de Verificao, que a Razo de Subordinao for igual ou superior a 25 vinte e cinco por cento Excesso de Subordinao, a Emissora dever, desde que existam recursos disponveis, realizar a amortizao extraordinria das Debntures da Segunda Srie com limite de at 98 noventa e oito por cento do Valor Nominal Unitrio das Debntures da Segunda Srie ou saldo do Valor Nominal Unitrio das Debntures da Segunda Srie, eou o pagamento de Participao Sobre a Receita dos Direitos Creditrios limitada ao montante necessrio para atendimento da Razo Mnima de Subordinao, ou seja, 20 vinte por cento. 5.3.3. Em cada Data de Verificao em que for apurado o Excesso de Subordinao, a Emissora dever utilizar os recursos disponveis para a realizao da Amortizao Extraordinria Obrigatria das Debntures da Segunda Srie Subordinao.",Não encontrado,Não encontrado,TRUE,
